"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2022 18:30 - 01.01.2022 18:45","0","0","n/e","1337","1337","n/e","2621","2621","n/e"
"01.01.2022 18:45 - 01.01.2022 19:00","0","0","n/e","1330","1330","n/e","2655","2655","n/e"
"01.01.2022 19:00 - 01.01.2022 19:15","0","0","n/e","1323","1323","n/e","2693","2693","n/e"
"01.01.2022 19:15 - 01.01.2022 19:30","0","0","n/e","1321","1321","n/e","2712","2712","n/e"
"01.01.2022 19:30 - 01.01.2022 19:45","0","0","n/e","1322","1322","n/e","2715","2715","n/e"
"01.01.2022 19:45 - 01.01.2022 20:00","0","0","n/e","1324","1324","n/e","2715","2715","n/e"
"01.01.2022 20:00 - 01.01.2022 20:15","0","0","n/e","1326","1326","n/e","2717","2717","n/e"
"01.01.2022 20:15 - 01.01.2022 20:30","0","0","n/e","1327","1327","n/e","2697","2697","n/e"
"01.01.2022 20:30 - 01.01.2022 20:45","0","0","n/e","1327","1327","n/e","2656","2656","n/e"
"01.01.2022 20:45 - 01.01.2022 21:00","0","0","n/e","1327","1327","n/e","2611","2611","n/e"
"01.01.2022 21:00 - 01.01.2022 21:15","0","0","n/e","1327","1327","n/e","2568","2568","n/e"
"01.01.2022 21:15 - 01.01.2022 21:30","0","0","n/e","1325","1325","n/e","2547","2547","n/e"
"01.01.2022 21:30 - 01.01.2022 21:45","0","0","n/e","1320","1320","n/e","2548","2548","n/e"
"01.01.2022 21:45 - 01.01.2022 22:00","0","0","n/e","1315","1315","n/e","2546","2546","n/e"
"01.01.2022 22:00 - 01.01.2022 22:15","0","0","n/e","1311","1311","n/e","2545","2545","n/e"
"01.01.2022 22:15 - 01.01.2022 22:30","0","0","n/e","1312","1312","n/e","2553","2553","n/e"
"01.01.2022 22:30 - 01.01.2022 22:45","0","0","n/e","1317","1317","n/e","2570","2570","n/e"
"01.01.2022 22:45 - 01.01.2022 23:00","0","0","n/e","1323","1323","n/e","2586","2586","n/e"
"01.01.2022 23:00 - 01.01.2022 23:15","0","0","n/e","1329","1329","n/e","2604","2604","n/e"
"01.01.2022 23:15 - 01.01.2022 23:30","0","0","n/e","1334","1334","n/e","2624","2624","n/e"
"01.01.2022 23:30 - 01.01.2022 23:45","0","0","n/e","1339","1339","n/e","2644","2644","n/e"
"01.01.2022 23:45 - 02.01.2022 00:00","0","0","n/e","1343","1343","n/e","2667","2667","n/e"
"02.01.2022 00:00 - 02.01.2022 00:15","0","0","n/e","1307","1307","n/e","2269","2269","n/e"
"02.01.2022 00:15 - 02.01.2022 00:30","0","0","n/e","1313","1313","n/e","2268","2268","n/e"
"02.01.2022 00:30 - 02.01.2022 00:45","0","0","n/e","1316","1316","n/e","2273","2273","n/e"
"02.01.2022 00:45 - 02.01.2022 01:00","0","0","n/e","1318","1318","n/e","2280","2280","n/e"
"02.01.2022 01:00 - 02.01.2022 01:15","0","0","n/e","1321","1321","n/e","2284","2284","n/e"
"02.01.2022 01:15 - 02.01.2022 01:30","0","0","n/e","1325","1325","n/e","2305","2305","n/e"
"02.01.2022 01:30 - 02.01.2022 01:45","0","0","n/e","1331","1331","n/e","2334","2334","n/e"
"02.01.2022 01:45 - 02.01.2022 02:00","0","0","n/e","1336","1336","n/e","2361","2361","n/e"
"02.01.2022 02:00 - 02.01.2022 02:15","0","0","n/e","1342","1342","n/e","2391","2391","n/e"
"02.01.2022 02:15 - 02.01.2022 02:30","0","0","n/e","1346","1346","n/e","2422","2422","n/e"
