,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2023-09-01 13:00:00,0.0,174.94374,0.0,228.28711,239.00453,0.0,266.15128,276.2433,290.143,299.39877,0.0,324.60175,0.0,351.29474,362.44418,384.22446,405.31894,430.6672,471.34726,532.2166
2023-09-01 14:00:00,0.0,105.43904,0.0,145.47305,154.61072,0.0,173.12518,180.25848,190.90321,196.95276,0.0,217.25067,0.0,237.77115,246.49237,261.1765,276.7595,295.61157,330.15652,384.10315
2023-09-01 15:00:00,0.0,47.941605,0.0,69.432434,73.84073,0.0,80.45004,80.81403,86.337074,87.61864,0.0,97.452614,0.0,104.56998,108.71861,113.440346,121.3988,130.94348,149.79887,184.40886
2023-09-01 16:00:00,0.0,147.40968,0.0,182.22757,189.75139,0.0,203.87416,204.65253,212.95569,217.46306,0.0,229.55746,0.0,241.72589,246.81255,255.84506,270.27942,283.84625,309.76266,353.8816
2023-09-01 17:00:00,0.0,350.42822,0.0,403.1357,416.94354,0.0,438.15466,442.78876,457.146,459.94318,0.0,482.39,0.0,501.09473,509.1125,522.1876,537.2694,552.1864,586.6485,639.61
2023-09-01 18:00:00,0.0,404.98285,0.0,523.8408,558.86163,0.0,621.4951,649.9727,682.41754,704.89166,0.0,774.7938,0.0,845.4343,860.58484,903.2837,952.7504,992.3892,1065.5868,1180.408
2023-09-02 05:00:00,0.0,710.92505,0.0,798.4157,817.0002,0.0,859.97375,874.5256,895.7017,905.24414,0.0,940.05493,0.0,975.48114,986.71027,1011.3917,1036.555,1059.3489,1101.6617,1168.3191
2023-09-02 06:00:00,0.0,762.5004,0.0,846.30396,862.2959,0.0,894.9543,906.76154,924.8518,931.18134,0.0,957.58655,0.0,987.8777,997.0008,1017.31287,1038.7401,1061.0608,1105.3993,1172.0406
2023-09-02 07:00:00,0.0,577.6383,0.0,660.98376,678.47437,0.0,714.81616,727.5071,745.96606,754.08777,0.0,787.74475,0.0,821.9954,831.9714,854.7294,882.84674,908.5532,953.41254,1023.7693
2023-09-02 08:00:00,0.0,402.99182,0.0,462.07297,476.7511,0.0,493.90652,499.2597,514.2968,510.96936,0.0,548.0013,0.0,571.1456,575.60675,586.6954,611.90375,629.09216,654.5278,693.83295
2023-09-02 09:00:00,0.0,242.38423,0.0,280.76434,285.28925,0.0,306.2748,315.30582,322.2669,324.0027,0.0,344.3532,0.0,360.24924,369.44778,379.96774,395.33865,410.3414,424.37585,447.6853
