,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2023-11-15 15:00:00,5.90621,9.57145,11.139717,11.787777,12.411996,13.253498,13.563248,13.991521,14.175547,14.562384,14.88476,15.219922,15.384791,15.694637,15.87562,16.148928,16.35968,16.50352,16.75739,16.943707,17.178646,17.466707,17.63403,17.915264,18.047184,18.33005,18.62654,18.844297,19.035107,19.359318,19.582535,19.851053,20.11088,20.291119,20.455156,20.824085,21.066254,21.323957,21.738789,22.082796,22.48074,22.90866,23.356672,23.911186,24.489954,25.360003,26.225033,27.831882,29.337719,37.751465
2023-11-16 09:00:00,5.2884026,8.000695,8.54479,9.137365,9.712421,10.314293,10.471495,10.996365,10.925934,11.211478,11.51709,11.773146,11.854344,12.069849,12.248473,12.446294,12.586761,12.710951,12.944867,13.110311,13.383743,13.632304,13.92754,14.162605,14.393388,14.85211,15.045515,15.324042,15.568553,15.791334,16.109055,16.482885,16.85375,17.255274,17.61565,18.132225,18.497065,18.99038,19.423391,20.076347,20.562515,21.288397,21.977552,22.65716,23.83727,24.943905,26.329678,28.762638,31.44924,40.85834
2023-11-16 10:00:00,10.457719,14.373162,15.029915,15.654064,16.32772,17.285519,17.481405,18.34468,18.138836,18.636414,19.12304,19.598747,19.761816,20.090923,20.394407,20.716087,20.99022,21.32268,21.620703,22.121487,22.673187,23.138294,23.811424,24.331896,24.766071,25.762117,26.217758,26.711042,27.2884,27.829077,28.493309,29.290888,30.088648,30.970203,31.702585,32.797054,33.543415,34.59232,35.465168,36.75027,37.789906,39.28224,40.568043,41.917355,44.04373,46.197624,48.574356,52.63963,57.913277,72.74478
2023-11-16 11:00:00,12.009375,16.613956,17.29663,18.184708,18.677822,19.929296,20.003086,21.381247,21.11243,21.86896,23.065872,23.938087,24.36148,25.04435,25.668385,26.501644,26.964096,27.482065,28.356188,29.28337,30.248844,31.066511,32.484535,33.36818,34.19381,35.74089,36.512135,37.486233,38.464012,39.44514,40.57816,41.989807,43.118183,44.651714,45.996773,47.557247,48.9865,50.71893,51.98163,53.93752,55.40796,57.64061,59.77446,61.650967,64.83278,68.16912,71.44323,77.035126,85.85244,106.83322
2023-11-16 12:00:00,15.532883,20.241047,21.731842,22.855234,23.596106,25.10747,25.474245,26.879015,26.795876,27.719912,29.08192,29.951504,30.54074,31.29235,32.03392,33.01992,33.52643,34.131695,35.237183,36.212784,37.12025,38.015575,39.49394,40.447697,41.181366,42.747528,43.51393,44.605072,45.576828,46.62662,47.63393,48.83904,50.003513,51.43578,52.72876,54.20653,55.616596,57.24643,58.438023,60.350582,61.704277,63.733852,65.739815,67.54269,70.37191,73.41594,76.37794,81.75134,89.68599,109.6478
2023-11-16 13:00:00,7.2250137,9.81029,12.334749,15.002201,14.962919,15.282342,19.107859,18.646019,17.456352,19.038158,24.259655,25.039207,25.971035,25.863848,25.688087,27.57781,28.056847,30.618397,28.994164,29.66916,35.1119,35.912777,36.621567,36.091362,37.71615,39.926754,40.731255,43.601665,43.26629,46.935448,48.586334,47.023907,48.073383,51.589413,49.81339,54.03043,55.918713,55.375416,57.401134,58.66802,64.78989,62.29181,65.27431,66.26141,71.718056,74.530846,77.25981,85.02404,95.15734,116.45537
2023-11-16 14:00:00,4.248457,6.4162602,8.557121,10.5368,10.127642,9.529275,13.630099,12.055002,10.758815,11.941642,16.699766,16.758694,17.365658,16.674105,15.838355,17.289558,17.376923,19.804432,17.245802,17.466505,22.94905,23.274258,23.020962,21.820614,23.239351,24.672544,25.119328,27.667171,26.756315,30.213718,31.457335,28.93987,29.525728,32.665096,29.864466,33.773136,35.109142,33.566166,35.31272,35.74569,42.09007,38.341118,40.708023,40.976696,45.655525,47.108948,49.031303,54.911213,62.075134,77.44565
2023-11-17 08:00:00,2.2775273,6.9817085,8.365067,9.237101,10.095249,10.727073,11.0930195,11.579788,11.754803,12.152964,12.524934,12.954379,13.193839,13.462558,13.611402,13.940978,14.126969,14.349316,14.569741,14.863644,15.14243,15.424087,15.696063,15.89147,16.087599,16.452127,16.622515,16.965456,17.155941,17.508593,17.65628,17.978563,18.190472,18.450462,18.641983,18.858675,19.102362,19.414766,19.633915,19.907364,20.155388,20.45999,20.889927,21.216436,21.804592,22.67049,23.53034,24.837393,26.26062,32.88392
2023-11-17 09:00:00,11.0399475,21.768848,26.091034,28.849125,31.3568,33.07538,34.20222,35.730255,36.30588,37.501595,38.861206,40.23689,41.10232,42.04666,42.499504,43.77298,44.346962,45.177128,46.052265,47.07558,47.95176,48.835987,49.83539,50.40655,51.122875,52.316513,52.937874,54.075623,54.583534,55.66887,56.07893,57.04626,57.65828,58.403217,58.979137,59.587093,60.25616,61.059402,61.66673,62.339092,62.909138,63.434303,64.522255,65.14446,66.49453,68.471664,70.062416,72.64295,75.40385,84.734116
2023-11-17 10:00:00,18.22398,30.855171,37.110973,41.402557,44.81474,48.193047,50.183483,52.361954,53.54222,55.07606,57.45772,59.19918,60.698227,62.52645,64.108665,66.34682,67.20091,68.36628,70.09203,71.55414,72.99607,74.69202,76.08146,77.08986,78.27506,80.02165,81.12444,82.812035,83.95439,85.64873,86.02031,87.73131,88.502556,89.61062,90.526695,91.09602,92.479,93.54354,94.545685,95.37577,95.992424,96.89204,98.33394,99.60054,101.59904,104.31987,106.40214,110.101,113.71314,122.26085
